time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,train/entropy_loss,train/value_loss,train/clip_fraction,train/loss,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/clip_range,train/approx_kl,train/learning_rate
1293,75.47,60928,1.0835999999999997,47,119,-0.9238974943757057,0.0362006934476085,0.181640625,-0.03461496904492378,-0.03529050206998363,1180,0.7659285068511963,0.2,0.02368259,0.0003
1297,74.91,61440,0.9843999999999998,47,120,-0.7454523473978043,0.025578516843961552,0.1939453125,-0.056147363036870956,-0.0426527384435758,1190,0.7868250608444214,0.2,0.028285174,0.0003
1300,76.99,61952,0.8980999999999998,47,121,-0.8156848937273026,0.03728189560351893,0.1095703125,-0.055743392556905746,-0.02794425073079765,1200,0.6593453884124756,0.2,0.022987483,0.0003
1304,78.15,62464,0.8200999999999999,47,122,-0.8702367223799229,0.029871269641444088,0.153125,-0.054530076682567596,-0.03521294985548593,1210,0.7147084474563599,0.2,0.017428702,0.0003
1307,77.8,62976,0.7259999999999996,48,123,-0.7166840113699436,0.044872895907610656,0.13359375,-0.036995984613895416,-0.032188193895854054,1220,0.4884135127067566,0.2,0.01758129,0.0003
1310,78.2,63488,0.7728999999999998,48,124,-0.7909771248698234,0.040921392384916544,0.137109375,-0.0523359552025795,-0.036477600084617735,1230,0.7747212648391724,0.2,0.01637306,0.0003
1313,78.34,64000,0.7682999999999999,48,125,-0.8450580388307571,0.03395053641870618,0.166015625,-0.06701701134443283,-0.04478021760005504,1240,0.6812441945075989,0.2,0.022648092,0.0003
1317,79.91,64512,0.7293,48,126,-0.7330905459821224,0.046716629213187845,0.1150390625,-0.021864155307412148,-0.028281561005860566,1250,0.4825814366340637,0.2,0.016415153,0.0003
1320,77.71,65024,0.7752999999999998,49,127,-0.9358592003583908,0.036245611333288255,0.1650390625,-0.053534746170043945,-0.03462509289383888,1260,0.7061684131622314,0.2,0.018265087,0.0003
1324,76.94,65536,0.7362999999999996,49,128,-0.7643318735063076,0.04146013428689912,0.1421875,-0.021224575117230415,-0.029752730834297837,1270,0.4822654724121094,0.2,0.013605542,0.0003
1327,78.43,66048,0.5791999999999998,49,129,-0.7305198334157467,0.035600222006905824,0.1337890625,-0.052146218717098236,-0.03453846251359209,1280,0.3191518783569336,0.2,0.017966054,0.0003
1330,78.06,66560,0.6541999999999999,50,130,-0.8222958028316498,0.0383486267121043,0.1447265625,-0.05270467326045036,-0.03599379451479763,1290,0.7646321654319763,0.2,0.020721167,0.0003
1333,77.79,67072,0.6959999999999998,50,131,-0.7176932781934738,0.03214078771416098,0.1380859375,-0.0241224467754364,-0.029713987722061574,1300,0.4606114625930786,0.2,0.0147223305,0.0003
1337,76.84,67584,0.6900999999999996,50,132,-0.7662518277764321,0.03038653308758512,0.1671875,-0.04025212675333023,-0.03805442291777581,1310,0.45567578077316284,0.2,0.022471303,0.0003
1340,75.15,68096,0.7725999999999997,50,133,-0.8623279564082622,0.02544729951187037,0.1400390625,-0.04220886901021004,-0.03939930356573314,1320,0.7373758554458618,0.2,0.016134152,0.0003
1343,77.48,68608,0.7928999999999999,51,134,-0.676971436291933,0.022860167030012236,0.143359375,-0.042525146156549454,-0.03981810121331364,1330,0.7036153078079224,0.2,0.023303764,0.0003
1347,79.98,69120,0.6779999999999999,51,135,-0.6612738505005836,0.018593660194892437,0.127734375,-0.04603879153728485,-0.0292625583242625,1340,0.6032506227493286,0.2,0.014049353,0.0003
1350,79.36,69632,0.7163999999999997,51,136,-0.7918841250240802,0.036496913875453174,0.14765625,-0.04043157398700714,-0.033298724167980256,1350,0.6663471460342407,0.2,0.044266198,0.0003
1354,79.8,70144,0.7162,51,137,-0.8061118863523007,0.03942199992015958,0.1630859375,-0.04991559684276581,-0.03551440523006022,1360,0.6938503980636597,0.2,0.02256392,0.0003
1358,78.93,70656,0.8408999999999998,52,138,-0.793265775591135,0.046814548538532105,0.1474609375,-0.03512424975633621,-0.03436829765560105,1370,0.5907344818115234,0.2,0.01755856,0.0003
1361,80.96,71168,0.8624999999999996,52,139,-0.7334992706775665,0.03829521631123498,0.1443359375,-0.03762847185134888,-0.030766307073645294,1380,0.6001367568969727,0.2,0.014453989,0.0003
1365,80.76,71680,0.8259999999999998,52,140,-0.7944555521011353,0.026511754939565434,0.182421875,-0.04835458844900131,-0.04900494778994471,1390,0.6710508465766907,0.2,0.020350821,0.0003
1369,78.77,72192,0.7963999999999998,52,141,-0.9078122496604919,0.02241143522551283,0.1765625,-0.052348822355270386,-0.03827559857163578,1400,0.8796982169151306,0.2,0.020968478,0.0003
1373,78.52,72704,0.7327999999999997,52,142,-0.8538672044873238,0.037225028488319364,0.1681640625,-0.08061284571886063,-0.040324309328570965,1410,0.7392927408218384,0.2,0.022809468,0.0003
