#{"t_start": 1781910846.894009, "env_id": "None"}
r,l,t
1.88,15,1412.889288
1.44,147,1414.658935
-1.11,143,1415.623176
1.88,56,1415.951025
-1.39,137,1416.691833
-1.65,143,1418.400762
1.55,150,1419.307805
-1.53,117,1419.980813
1.44,149,1420.81321
1.88,35,1421.044921
1.09,148,1423.07996
-1.75,136,1423.892922
-1.98,93,1424.467457
1.62,155,1426.537302
1.88,102,1427.179021
1.88,120,1428.007685
1.6,151,1429.086071
1.88,31,1429.319794
1.88,42,1429.599305
1.88,78,1431.141012
-2.6,130,1431.81617
1.88,43,1432.048835
1.88,48,1432.304514
1.88,20,1432.411208
1.67,127,1433.112005
1.88,25,1433.254507
1.88,38,1433.470174
1.88,32,1433.6437
1.88,27,1433.7919
1.12,103,1435.354063
1.88,51,1435.68751
1.6,153,1436.705152
1.61,149,1437.653762
1.88,63,1438.903174
-1.52,107,1439.583901
-2.06,98,1440.120712
1.88,42,1440.336836
1.88,27,1440.477319
1.88,39,1440.670951
1.59,153,1441.617458
1.88,23,1441.753231
1.73,137,1443.744571
1.88,35,1444.013497
1.88,23,1444.169019
-1.04,134,1445.076139
-1.34,137,1445.915837
1.58,148,1447.788912
1.71,151,1448.644574
1.88,28,1448.807888
1.88,66,1449.28518
1.88,123,1450.056366
1.88,14,1450.139488
1.68,151,1452.196133
-1.37,151,1453.167086
-1.93,55,1453.466775
1.6,163,1454.311142
-2.3,140,1455.992493
1.88,26,1456.13066
1.88,66,1456.511094
1.88,36,1456.704282
1.88,28,1456.866691
1.88,23,1457.017178
1.88,96,1457.548704
1.88,19,1457.642226
1.88,37,1457.840997
-1.43,114,1459.844865
1.88,31,1460.062748
1.88,26,1460.224552
1.88,31,1460.418059
1.76,54,1460.729408
1.88,39,1460.945535
1.88,19,1461.070748
1.88,28,1461.239425
-3.49,78,1461.699532
1.68,157,1462.589009
1.88,59,1463.742095
1.88,35,1463.940521
1.21,142,1464.741608
1.88,20,1464.847116
-1.61,132,1465.650747
-1.77,115,1466.458441
-3.02,135,1468.26159
1.59,150,1469.249306
1.69,37,1469.472524
1.88,20,1469.588918
1.75,149,1470.453416
1.48,154,1472.179799
1.88,37,1472.36537
1.88,18,1472.459565
1.88,20,1472.570493
1.58,160,1473.611842
1.24,122,1474.328769
1.88,63,1475.538594
1.88,50,1475.815088
-2.35,111,1476.383437
1.88,40,1476.592911
1.88,23,1476.710784
1.88,27,1476.848167
1.33,118,1477.469178
1.6,136,1479.158716
1.88,11,1479.231185
1.88,43,1479.515992
1.61,146,1480.507854
1.6,147,1481.356146
1.88,94,1481.834764
-1.42,134,1483.461713
1.88,31,1483.627004
1.88,18,1483.72542
1.88,19,1483.825221
1.88,32,1484.001686
1.88,59,1484.336952
1.88,47,1484.601367
-1.17,143,1485.377715
1.73,145,1487.275952
1.43,152,1488.204144
1.88,23,1488.33939
-1.5,111,1488.9581
1.88,36,1489.22042
1.57,154,1490.85097
1.88,42,1491.11348
1.88,47,1491.376119
1.88,27,1491.519646
1.88,31,1491.687136
-1.98,132,1492.40013
-2.53,91,1492.886451
