#{"t_start": 1781910059.008159, "env_id": "None"}
r,l,t
1.41,24,132.384392
-2.05,9,132.412323
-6.51,52,133.060979
-1.93,11,133.097183
-1.9,6,133.116512
-6.54,59,133.292085
-6.43,56,133.445854
-5.99,62,133.614074
-6.51,50,133.741742
-2.11,13,133.781841
-2.03,13,133.817551
-5.89,84,134.025824
-1.92,11,134.055037
-1.98,11,134.084001
-2.02,11,134.117943
-5.43,88,134.333277
-6.51,58,134.988006
-6.3,46,135.108074
-6.63,50,135.250967
-2.19,13,135.292305
-6.15,53,135.453001
-6.74,49,135.606579
-1.93,7,135.63082
-2.31,17,135.687597
-1.96,13,135.729766
-6.77,49,135.90243
-6.33,48,136.099892
-5.91,58,136.2903
-6.49,81,137.027824
-6.62,48,137.165747
1.41,23,137.223035
-1.97,10,137.254165
-2.05,16,137.301849
-5.95,120,137.612049
-6.77,54,137.771647
-6.35,54,137.92388
-6.71,52,138.075561
-6.55,48,138.205578
-1.93,12,138.240574
-6.55,59,138.392711
-1.98,10,138.90984
-4.93,74,139.099244
-1.92,10,139.124181
-5.94,60,139.2759
-6.58,49,139.408212
-1.93,7,139.428525
-6.6,48,139.546234
-6.76,49,139.665193
-6.13,60,139.817861
-1.9,5,139.830747
-1.98,10,139.855738
-2.12,10,139.88273
-6.53,50,140.006952
-2.03,9,140.031732
-6.32,54,140.169437
-1.93,15,140.671269
-1.93,13,140.705534
-6.73,49,140.849384
-2.02,17,140.897197
-6.59,53,141.046556
1.41,18,141.095545
-1.98,9,141.12404
-1.98,10,141.154662
-1.96,12,141.188426
-2.05,12,141.221268
-2.03,9,141.247516
-2.03,9,141.2708
-5.83,87,141.49321
-6.49,54,141.641022
-1.93,7,141.662968
-6.43,54,141.814994
-1.97,10,141.851909
-6.43,45,141.994812
-1.93,6,142.01098
1.88,19,142.059406
-5.72,87,142.8139
-5.22,88,143.040745
-6.5,55,143.195816
-2.25,16,143.242124
-6.65,53,143.396687
-6.46,53,143.541173
1.41,24,143.60383
-1.97,9,143.627686
-6.49,46,143.760801
-6.81,48,143.888821
-6.44,54,144.530751
-1.97,10,144.563187
-6.76,45,144.708079
-6.49,53,144.848581
-2.11,12,144.880414
-2.37,21,144.938976
-6.6,51,145.077666
-5.83,69,145.24554
-5.21,84,145.451572
-2.39,16,145.501477
1.88,18,145.545207
-2.11,10,145.575492
-2.19,12,145.609565
-1.98,10,145.637848
-6.43,46,145.765138
-1.93,11,145.796413
-2.75,19,145.848366
1.88,18,145.894636
-6.74,48,146.50569
-6.73,44,146.646509
-6.43,52,146.806192
1.88,18,146.859953
-6.6,52,147.000963
-5.57,54,147.139994
-1.92,7,147.162915
1.88,30,147.239881
-6.65,49,147.367654
-6.71,51,147.515152
-2.19,14,147.555565
-6.74,47,147.680537
-6.51,52,148.269894
-2.05,13,148.303835
1.41,13,148.341069
-6.6,47,148.492142
-1.92,7,148.520564
-2.25,10,148.570058
-1.93,7,148.598074
-6.35,58,148.789354
-1.97,10,148.827113
-6.71,47,148.9779
-2.19,16,149.029481
-6.23,86,149.261758
-1.97,10,149.295656
-6.37,58,149.454143
-6.74,50,149.593513
-6.43,55,149.739673
-2.31,12,149.782892
-6.74,48,150.376338
-5.64,86,150.584012
-1.9,14,150.621476
-2.39,15,150.65927
-6.49,47,150.773588
-6.4,51,150.900599
-2.45,12,150.937609
-1.98,15,150.977244
1.88,58,151.110204
-5.34,89,151.329699
-1.97,15,151.367343
-1.92,7,151.385986
-2.03,9,151.411969
-6.54,51,151.5411
-1.98,11,152.045179
-6.29,58,152.193334
-2.05,9,152.220102
-2.11,12,152.255996
-6.3,55,152.396983
-6.48,49,152.541611
-5.87,68,152.720013
-6.5,45,152.841805
-5.35,71,153.03345
-1.92,11,153.064004
-2.03,9,153.093201
-6.57,58,153.248129
-5.99,55,153.39605
-6.6,54,153.965366
-6.3,52,154.088281
-2.03,9,154.112311
-2.16,14,154.149678
1.88,13,154.180223
-6.65,51,154.310155
-2.16,14,154.353411
1.58,20,154.421261
-2.03,9,154.470288
-2.03,9,154.507161
1.88,18,154.564348
1.41,21,154.622899
-5.06,88,154.908119
-2.26,21,154.981284
-6.51,52,155.163874
-6.18,60,155.358254
-1.93,11,155.388192
-1.98,14,155.91284
-6.3,48,156.053673
-6.43,45,156.18888
1.88,19,156.23642
-6.59,56,156.378256
-2.17,11,156.410179
-1.93,7,156.43021
-5.7,53,156.574811
-1.97,8,156.600068
1.41,26,156.675889
-6.63,49,156.830994
-6.66,53,156.980351
-6.81,45,157.104482
1.88,13,157.134115
-2.17,11,157.164506
-1.93,9,157.187462
-6.43,53,157.782779
-1.93,6,157.799139
-6.53,52,157.943558
-6.51,49,158.084035
1.41,21,158.139018
-5.78,53,158.281068
-2.17,11,158.311557
1.41,19,158.365808
-1.97,10,158.397153
-6.41,53,158.562193
-6.58,50,158.723482
1.46,38,158.819221
-6.11,53,158.957646
-1.93,7,158.978014
-5.23,61,159.133728
-2.17,12,159.170629
-1.9,6,159.188782
-6.35,50,159.769728
-3.35,97,160.003121
-6.2,54,160.153566
-6.5,50,160.28893
-6.65,50,160.423617
-1.92,7,160.445611
-6.77,52,160.593332
-5.74,65,160.806434
-6.11,64,161.005878
-1.93,12,161.047034
-6.43,55,161.763304
-5.69,90,162.015477
-2.02,17,162.06364
-6.29,59,162.205361
1.88,21,162.253795
-1.97,10,162.279141
-2.03,9,162.302346
-5.85,67,162.461957
-1.97,6,162.479869
-6.71,48,162.609211
-6.24,60,162.753865
-6.18,52,162.883618
-1.98,8,162.905059
-6.69,52,163.493971
-1.88,12,163.528183
-5.16,93,163.768021
-6.65,50,163.90281
-2.03,9,163.930439
-6.06,50,164.065935
-1.97,6,164.08516
-6.63,46,164.220816
-6.44,57,164.378969
-6.43,56,164.557401
-1.97,10,164.588308
-1.93,7,164.610059
-6.74,53,164.75518
-6.32,49,165.447311
-6.36,47,165.661854
-6.37,51,165.851205
-6.67,49,166.035922
-2.03,9,166.0632
-5.27,86,166.309899
-1.97,10,166.341179
-6.42,51,166.520522
1.88,18,166.572007
-1.98,9,166.600632
-6.55,49,166.77088
-5.95,55,166.958775
-6.81,46,167.116213
-5.25,69,167.903577
-1.98,10,167.930728
-6.35,55,168.059011
-6.73,45,168.176724
-1.97,10,168.20272
-1.92,7,168.221563
-5.33,61,168.369638
-6.79,46,168.486556
